id	structure	dispo_id	season	season_year	dispo_type	site_code	lon	lat	local	campaign_start	campaign-end	campaign_duration	trap_night	trap_cat
1	LIFE	1-CBDE01-2017-2018-ETE	ETE	2017-2018	CAGE	BDE	340994	7665136	Crête BDE	05/02/2018	19/02/2018	14	14	0
2	LIFE	1-CBDE01-2016-2017-ETE	ETE	2016-2017	CAGE	BDE	340994	7665136	Crête BDE	21/03/2017	29/03/2017	8	8	0
3	LIFE	1-CBDE01-2018-2019-HIVER	HIVER	2018-2019	CAGE	BDE	340994	7665136	Crête BDE	05/06/2018	11/09/2018	98	54	0
4	LIFE	2-CBDE02-2016-2017-ETE	ETE	2016-2017	CAGE	BDE	341091	7665200	Ravine BDE	07/11/2016	29/03/2017	142	24	0
5	LIFE	3-CBDE03-2016-2017-ETE	ETE	2016-2017	CAGE	BDE	341069,682	7665243,72	Ravine BDE	07/11/2016	22/03/2017	135	31	0
6	LIFE	4-CBDE05-2016-2017-ETE	ETE	2016-2017	CAGE	BDE	341236	7665242	Terrier 1 à 50 BDE	08/11/2016	22/11/2016	14	14	0
7	LIFE	4-CBDE05-2018-2019-HIVER	HIVER	2018-2019	CAGE	BDE	341236	7665242	Terrier 1 à 50 BDE	25/07/2018	12/09/2018	49	30	0
8	LIFE	5-CBDE06-2016-2017-ETE	ETE	2016-2017	CAGE	BDE	341362	7665303	Terrier 51 à 85 BDE	08/11/2016	22/11/2016	14	14	0
9	LIFE	6-CBDE07-2016-2017-ETE	ETE	2016-2017	CAGE	BDE	341404	7665229	Terrier 101 à 150 BDE	08/11/2016	22/03/2017	134	29	1
10	LIFE	6-CBDE07-2018-2019-HIVER	HIVER	2018-2019	CAGE	BDE	341404	7665229	Terrier 101 à 150 BDE	27/06/2018	12/09/2018	77	30	0
11	LIFE	6-CBDE07-2019-2020-HIVER	HIVER	2019-2020	CAGE	BDE	341404	7665229	Terrier 101 à 150 BDE	24/05/2019	07/08/2019	75	15	0
