"id"	"structure"	"dispo_id"	"season"	"season_year"	"dispo_type"	"site_code"	"lon"	"lat"	"local"	"campaign_start"	"campaign.end"	"campaign_duration"	"trap_night"	"trap_cat"
"313"	313	"PNRun OUEST"	"511-CSEO02-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	332293.881	7668186.63	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	22	0
"314"	314	"PNRun OUEST"	"514-CSEO03-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	332434.683	7667806.89	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
"315"	315	"PNRun OUEST"	"517-CSEO04-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	332819.755	7667694.89	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	9.5	1
"316"	316	"PNRun OUEST"	"520-CSEO05-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	332953.09	7667322.61	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	9.5	0
"317"	317	"PNRun OUEST"	"523-CSEO06-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	333157.893	7666990.88	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
"318"	318	"PNRun OUEST"	"526-CSEO07-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	333333.896	7666636.74	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
"319"	319	"PNRun OUEST"	"529-CSEO08-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	333478.964	7666261.27	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
"320"	320	"PNRun OUEST"	"532-CSEO09-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	333634.7	7665892.19	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
"321"	321	"PNRun OUEST"	"535-CSEO10-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	333677.367	7665497.52	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	9.5	1
"322"	322	"PNRun OUEST"	"538-CSEO11-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	333636.833	7665107.12	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
"323"	323	"PNRun OUEST"	"541-CSEO12-2015-2016-HIVER"	"HIVER"	"2015-2016"	"CAGE"	"GBR"	334068.214	7664989.32	"Planèze GBR"	"06/07/2015"	"12/08/2015"	37	10	0
