Detector	X	Y	Effort session 1	Effort session 2	HABITAT
F28	330521	7670688	222222221111111111111111111111	000000000000000000000000000000000	OPEN
F28b	330608	7670685	000000000000000000000000000000	111111111111111111111111111111111	CLOSED
D25	330158	7670065	000000000001111111111111111111	000000000000000000000000000000000	OPEN
D25b	330120	7670034	000000000000000000000000000000	111111111111111111111111111111110	CLOSED
G26	330642	7670241	000000000001111111111111111111	000000000000000000000000000000000	OPEN
G26b	330688	7670154	000000000000000000000000000000	111100000111111111111111111111111	CLOSED
I25	331162	7669975	111111111111111111111111111111	000000000000000000000000000000000	OPEN
I25b	331052	7670011	000000000000000000000000000000	111100000111111110111000001111111	CLOSED
D24	330089	7669779	000000000001111111111111111111	000000000000000000000000000000000	OPEN
D24b	330169	7669838	000000000000000000000000000000	111111111111111111111111111111111	CLOSED
E22	330368	7669421	000000000001111111111111000000	000000000000000000000000000000000	OPEN
E22b	330302	7669321	000000000000000000000000000000	111111111111000000111111111111111	CLOSED
B20	329718	7669036	000000000001111111111111111111	000000000000000000000000000000000	OPEN
B20b	329725	7669122	000000000000000000000000000000	111110000111111111111111111111111	CLOSED
F20	330596	7669086	111111111111111111111111110000	000000000000000000000000000000000	OPEN
F20b	330680	7668948	000000000000000000000000000000	111111111111111111111111111111111	CLOSED
H21	330838	7669282	000000000001111111111111111111	000000000000000000000000000000000	OPEN
H21b	331009	7669254	000000000000000000000000000000	100000000111111111100000011111100	CLOSED
B17	329662	7668484	222222222111111111111111111111	000000000000000000000000000000000	OPEN
B17b	329625	7668329	000000000000000000000000000000	110000000111111110111111111111111	CLOSED
A16	329486	7668189	000000000001111111111111110000	000000000000000000000000000000000	OPEN
A16b	329412	7668280	000000000000000000000000000000	111111111111111100111111110000000	CLOSED
G15	330697	7668039	000000000001111111111111111111	000000000000000000000000000000000	OPEN
G15b	330855	7668083	000000000000000000000000000000	111111111111000000111111111111111	CLOSED
A11	329598	7667149	222222221111111111111111111111	000000000000000000000000000000000	OPEN
A11b	329700	7667201	000000000000000000000000000000	111111110111111111111111111111111	CLOSED
C11	329922	7667126	000000000001111111111111111111	000000000000000000000000000000000	OPEN
C11b	329991	7667242	000000000000000000000000000000	111111111111111111111111111000000	CLOSED
G10	330717	7667092	111111111111111111111111111111	000000000000000000000000000000000	OPEN
G10b	330566	7667014	000000000000000000000000000000	111111111111100000111111111111110	CLOSED
A9	329468	7666784	000000000001111111111111111111	000000000000000000000000000000000	OPEN
A9b	329383	7666916	000000000000000000000000000000	111111111000000000111111111111111	CLOSED
F6	330573	7666233	000000000001111111111111111111	000000000000000000000000000000000	OPEN
F6b	330696	7666142	000000000000000000000000000000	111111111111111111111111111100000	CLOSED
B5	329703	7665958	222222111111111111111111110000	000000000000000000000000000000000	OPEN
B5b	329731	7666110	000000000000000000000000000000	111111100100000000111111111111111	CLOSED
C5	329895	7665947	000000000001111111111111111111	000000000000000000000000000000000	OPEN
C5b	330025	7666074	000000000000000000000000000000	111111111100000000111111111111111	CLOSED
B1	329767	7665122	000000000001111111111111111111	000000000000000000000000000000000	OPEN
B1b	329733	7665244	000000000000000000000000000000	111111000110000000111111111111111	CLOSED
C1	329829	7665238	222222211110000000000000000000	000000000000000000000000000000000	OPEN
