#"HABITAT" "LOC" "x" "y" "usage"
"OPEN" "F28" "330521" "7670688" "222222221111111111111111111111000000000000000000000000000000000"
"CLOSED" "F28" "330608" "7670685" "000000000000000000000000000000111111111111111111111111111111111"
"OPEN" "D25" "330158" "7670065" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "D25" "330120" "7670034" "000000000000000000000000000000111111111111111111111111111111110"
"OPEN" "G26" "330642" "7670241" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "G26" "330688" "7670154" "000000000000000000000000000000111100000111111111111111111111111"
"OPEN" "I25" "331162" "7669975" "111111111111111111111111111111000000000000000000000000000000000"
"CLOSED" "I25" "331052" "7670011" "000000000000000000000000000000111100000111111110111000001111111"
"OPEN" "D24" "330089" "7669779" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "D24" "330169" "7669838" "000000000000000000000000000000111111111111111111111111111111111"
"OPEN" "E22" "330368" "7669421" "000000000001111111111111000000000000000000000000000000000000000"
"CLOSED" "E22" "330302" "7669321" "000000000000000000000000000000111111111111000000111111111111111"
"OPEN" "B20" "329718" "7669036" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "B20" "329725" "7669122" "000000000000000000000000000000111110000111111111111111111111111"
"OPEN" "F20" "330596" "7669086" "111111111111111111111111110000000000000000000000000000000000000"
"CLOSED" "F20" "330680" "7668948" "000000000000000000000000000000111111111111111111111111111111111"
"OPEN" "H21" "330838" "7669282" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "H21" "331009" "7669254" "000000000000000000000000000000100000000111111111100000011111100"
"OPEN" "B17" "329662" "7668484" "222222222111111111111111111111000000000000000000000000000000000"
"CLOSED" "B17" "329625" "7668329" "000000000000000000000000000000110000000111111110111111111111111"
"OPEN" "A16" "329486" "7668189" "000000000001111111111111110000000000000000000000000000000000000"
"CLOSED" "A16" "329412" "7668280" "000000000000000000000000000000111111111111111100111111110000000"
"OPEN" "G15" "330697" "7668039" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "G15" "330855" "7668083" "000000000000000000000000000000111111111111000000111111111111111"
"OPEN" "A11" "329598" "7667149" "222222221111111111111111111111000000000000000000000000000000000"
"CLOSED" "A11" "329700" "7667201" "000000000000000000000000000000111111110111111111111111111111111"
"OPEN" "C11" "329922" "7667126" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "C11" "329991" "7667242" "000000000000000000000000000000111111111111111111111111111000000"
"OPEN" "G10" "330717" "7667092" "111111111111111111111111111111000000000000000000000000000000000"
"CLOSED" "G10" "330566" "7667014" "000000000000000000000000000000111111111111100000111111101111110"
"OPEN" "A9" "329468" "7666784" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "A9" "329383" "7666916" "000000000000000000000000000000111111111000000000111111111111111"
"OPEN" "F6" "330573" "7666233" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "F6" "330696" "7666142" "000000000000000000000000000000111111111111111111111111111100000"
"OPEN" "B5" "329703" "7665958" "222222111111111111111111110000000000000000000000000000000000000"
"CLOSED" "B5" "329731" "4666110" "000000000000000000000000000000111111100100000000111111111111111"
"OPEN" "C5" "329895" "7665947" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "C5" "330025" "7666074" "000000000000000000000000000000111111111100000000111111111111111"
"OPEN" "B1" "329767" "7665122" "000000000001111111111111111111000000000000000000000000000000000"
"CLOSED" "B1" "329733" "7665244" "000000000000000000000000000000111111000110000000111111111111111"
"OPEN" "C1" "329829" "7665238" "222222211110000000000000000000000000000000000000000000000000000"
