#"Detector" "X" "Y" "HABITAT" "usage"
"F28" "330521" "7670688" "OPEN" "222222221111111111111111111111000000000000000000000000000000000"
"F28b" "330608" "7670685" "CLOSED" "000000000000000000000000000000111111111111111111111111111111111"
"D25" "330158" "7670065" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"D25b" "330120" "7670034" "CLOSED" "000000000000000000000000000000111111111111111111111111111111110"
"G26" "330642" "7670241" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"G26b" "330688" "7670154" "CLOSED" "000000000000000000000000000000111100000111111111111111111111111"
"I25" "331162" "7669975" "OPEN" "111111111111111111111111111111000000000000000000000000000000000"
"I25b" "331052" "7670011" "CLOSED" "000000000000000000000000000000111100000111111110111000001111111"
"D24" "330089" "7669779" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"D24b" "330169" "7669838" "CLOSED" "000000000000000000000000000000111111111111111111111111111111111"
"E22" "330368" "7669421" "OPEN" "000000000001111111111111000000000000000000000000000000000000000"
"E22b" "330302" "7669321" "CLOSED" "000000000000000000000000000000111111111111000000111111111111111"
"B20" "329718" "7669036" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"B20b" "329725" "7669122" "CLOSED" "000000000000000000000000000000111110000111111111111111111111111"
"F20" "330596" "7669086" "OPEN" "111111111111111111111111110000000000000000000000000000000000000"
"F20b" "330680" "7668948" "CLOSED" "000000000000000000000000000000111111111111111111111111111111111"
"H21" "330838" "7669282" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"H21b" "331009" "7669254" "CLOSED" "000000000000000000000000000000100000000111111111100000011111100"
"B17" "329662" "7668484" "OPEN" "222222222111111111111111111111000000000000000000000000000000000"
"B17b" "329625" "7668329" "CLOSED" "000000000000000000000000000000110000000111111110111111111111111"
"A16" "329486" "7668189" "OPEN" "000000000001111111111111110000000000000000000000000000000000000"
"A16b" "329412" "7668280" "CLOSED" "000000000000000000000000000000111111111111111100111111110000000"
"G15" "330697" "7668039" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"G15b" "330855" "7668083" "CLOSED" "000000000000000000000000000000111111111111000000111111111111111"
"A11" "329598" "7667149" "OPEN" "222222221111111111111111111111000000000000000000000000000000000"
"A11b" "329700" "7667201" "CLOSED" "000000000000000000000000000000111111110111111111111111111111111"
"C11" "329922" "7667126" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"C11b" "329991" "7667242" "CLOSED" "000000000000000000000000000000111111111111111111111111111000000"
"G10" "330717" "7667092" "OPEN" "111111111111111111111111111111000000000000000000000000000000000"
"G10b" "330566" "7667014" "CLOSED" "000000000000000000000000000000111111111111100000111111101111110"
"A9" "329468" "7666784" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"A9b" "329383" "7666916" "CLOSED" "000000000000000000000000000000111111111000000000111111111111111"
"F6" "330573" "7666233" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"F6b" "330696" "7666142" "CLOSED" "000000000000000000000000000000111111111111111111111111111100000"
"B5" "329703" "7665958" "OPEN" "222222111111111111111111110000000000000000000000000000000000000"
"B5b" "329731" "7666110" "CLOSED" "000000000000000000000000000000111111100100000000111111111111111"
"C5" "329895" "7665947" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"C5b" "330025" "7666074" "CLOSED" "000000000000000000000000000000111111111100000000111111111111111"
"B1" "329767" "7665122" "OPEN" "000000000001111111111111111111000000000000000000000000000000000"
"B1b" "329733" "7665244" "CLOSED" "000000000000000000000000000000111111000110000000111111111111111"
"C1" "329829" "7665238" "OPEN" "222222211110000000000000000000000000000000000000000000000000000"
